id_anon,cluster
10220050802,8
10220068305,9
10220068903,8
10220072102,8
10220072103,8
10220076202,6
10267079205,4
10267098104,7
10267099103,8
10267110204,0
10267113705,9
10267113803,8
10267114405,2
10267121503,2
10267122603,5
10267131503,1
11172034203,5
11172035103,5
11172041203,2
11172042304,5
11172044303,2
11172044404,0
11172048503,1
11172048504,1
11172049502,5
11172054806,5
11172054807,4
11172055906,2
10485000605,9
10485001904,9
10485005102,5
10485010704,1
10485018004,9
10485021004,8
10485021305,3
10485021605,1
10485022603,2
10485022604,9
10485024404,5
10021003704,2
10021006303,5
10021011402,8
10021018903,8
10021019003,8
10021022004,8
10021027504,0
10021038006,2
10021041006,8
10021044104,1
11312005903,8
11312009605,2
11312009606,8
11312012704,9
11312016204,2
11312029204,6
11312048303,0
11312049304,8
11312053705,2
11312057003,2
11312057903,8
11211017404,8
11211017702,0
11211018904,2
11211052904,9
11211054504,9
11211056305,2
11211057005,5
11211057304,8
11211059405,8
11211067706,2
11211067707,4
11131000803,1
11131001202,2
11131003708,4
11131004603,5
11131016504,8
11131027503,1
11131027504,7
11131028503,9
11131028504,4
11131028604,5
11131030707,4
11131032303,8
11131032304,8
10524001004,1
10524002004,0
10524004804,6
10524005004,1
10524005005,4
10524016704,6
10524017903,0
10524020703,5
10524028504,7
10524029507,6
10524029508,6
10524029509,4
10524029603,2
10650002503,4
10650009903,3
10650013104,6
10650020304,7
10650024204,8
10650024205,8
10650024303,9
10650024304,2
10650027403,4
10650030206,9
10650030207,4
10650032505,7
10650034110,4
10107001907,6
10107001908,6
10107003707,4
10107004905,6
10107004906,6
10107004907,4
10107013207,4
10107017005,8
10107017705,3
10107018507,9
10107021503,9
10107022403,2
10107022503,9
10107028105,6
10107028106,4
10349027003,2
10349033403,8
10349033404,9
10349035604,5
10349040303,8
10349040304,4
10349040404,0
10349041402,7
10349042904,3
10349043205,1
10349043706,2
10349046404,9
11366000105,8
11366005503,4
11366005803,8
11366008005,3
11366008106,0
11366025205,1
11366025303,4
11366027407,2
11366032304,9
11366032404,1
10584025906,3
10584026303,4
10584026404,5
10584028003,1
10584028004,4
10584028102,3
10584028703,1
10584032203,8
10584033203,1
10584039806,2
10584040406,8
10798003603,9
10798007705,8
10798015005,9
10798015006,9
10798015007,4
10798027204,4
10798032403,9
10798032804,9
10798035603,8
10798038406,9
10798038407,9
10798039504,8
10798042503,9
10910021304,6
10910023305,6
10910025806,1
10910025807,6
10910027404,0
10910031603,6
10910031804,1
10910032803,6
10910032804,6
10910036003,6
10910036004,4
10910039102,7
10910039903,6
10910039904,6
11361008004,1
11361010105,4
11361010203,4
11361018203,9
11361026806,6
11361026903,9
11361030205,9
11361030206,9
11361030304,1
11361031903,2
11361032103,6
10426000505,1
10426000703,4
10426004804,6
10426039305,6
10426039506,6
10426045703,4
10426046806,6
10426050304,2
10426050305,8
10426050306,4
10426062304,6
10426062305,6
10426062504,5
11170030905,3
11170030906,8
11170031705,8
11170032705,8
11170034504,8
11170035502,8
11170039104,6
11170039203,8
11170041105,4
11170042303,3
11170043306,8
10102042204,7
10102042205,4
10102044203,1
10102044902,0
10102051604,1
10102053703,1
10102053903,1
10102055803,6
10102056804,6
10102056805,4
10102058803,7
10102058804,6
10102062103,4
10752001705,5
10752001902,3
10752004403,4
10752005707,9
10752010706,9
10752010906,4
10752011103,4
10752013907,9
10752015503,1
10752016904,9
10764001404,6
10764003304,9
10764005204,3
10764007402,8
10764008304,8
10764008402,8
10764008605,3
10764009602,1
10764023003,4
10764037605,8
10764037606,2
10764037607,1
11277001806,2
11277007805,4
11277013105,2
11277023103,3
11277024002,0
11277024003,0
11277027803,2
11277028703,7
11277028704,7
11277031404,2
11277032308,1
11277033604,6
10768009905,7
10768009906,4
10768010906,3
10768011903,3
10768014204,8
10768014304,4
10768014305,1
10768034004,6
10768034102,9
10768034104,4
10768034203,9
10768034904,9
10768034905,2
10768036604,6
10768036605,9
10420001802,8
10420002404,9
10420002405,3
10420018003,8
10420019504,4
10420020803,9
10420025506,8
10420029203,4
10420030402,7
10420033504,3
10420039603,0
10420039604,4
11195000204,1
11195000205,1
11195000304,1
11195012005,6
11195012103,1
11195012203,3
11195012303,3
11195014102,1
11195014202,1
11195015503,5
11195040302,4
10276021705,4
10276021804,1
10276032904,1
10276032905,1
10276036103,6
10276038202,2
10276039902,5
10276039903,4
10276041103,8
10276041903,8
10276042004,8
10276043303,5
10155019603,3
10155025805,9
10155027004,8
10155027204,3
10155030903,9
10155033003,2
10155033104,9
10155035805,2
10155035903,3
10155036105,8
10374028303,1
10374031303,8
10374032303,1
10374032304,4
10374032803,2
10374033703,3
10374034404,8
10374034405,4
10374036503,9
10374036703,9
10374041303,3
10374041504,3
10805002803,4
10805006704,4
10805006705,3
10805007906,2
10805008004,9
10805008806,9
10805008807,4
10805013106,2
10805014403,9
10805019505,8
10805020803,7
10805021003,8
11049002704,1
11049003302,9
11049006102,1
11049010203,4
11049022904,4
11049022905,6
11049022906,9
11049026404,4
11049035303,3
11049037703,8
11049038803,9
11049039202,3
10611009104,8
10611013205,9
10611013803,3
10611013804,8
10611017105,3
10611017106,1
10611021205,8
10611023506,3
10611023603,8
10611027006,9
10611027008,8
10611028007,8
10611030904,8
10854000108,4
10854000209,3
10854000907,0
10854012407,3
10854012507,9
10854012905,9
10854013404,3
10854014303,0
10854033905,4
10854034805,6
10721004806,0
10721007103,2
10721011906,4
10721011907,9
10721012305,9
10721017005,9
10721017006,4
10721022303,9
10721023002,9
10721023303,2
10721023304,9
10721024803,1
10721026203,7
10122003303,8
10122003803,5
10122006803,9
10122006903,3
10122006904,9
10122007202,3
10122007602,8
10122007702,9
10122007802,9
10122016203,6
10122016204,1
10122018203,0
10400000106,8
10400004405,4
10400004505,6
10400009807,9
10400018004,9
10400027603,8
10400028206,9
10400028207,2
10400028605,4
10400028703,4
10400032505,2
10461000804,1
10461002303,8
10461017805,6
10461017904,5
10461018603,8
10461018807,9
10461021303,4
10461023005,6
10461023009,6
10461023203,2
10461023204,8
11349013708,8
11349015804,8
11349016004,9
11349016104,9
11349016209,8
11349018205,3
11349021405,8
11349022605,8
11349024905,9
11349025104,9
10075044805,8
10075047206,5
10075050505,9
10075051505,1
10075051606,0
10075051703,1
10075054703,0
10075069104,5
10075072709,1
10075074805,9
10508031609,3
10508034505,6
10508034506,9
10508038403,8
10508039403,9
10508040405,8
10508042403,3
10508043404,9
10508044403,2
10508046402,3
10508046403,8
10508047403,8
11116000103,8
11116000202,6
11116000903,5
11116001003,6
11116001403,2
11116001404,5
11116002302,5
11116027103,7
11116027603,6
11116027703,1
11116027704,0
11116027803,4
10986000403,1
10986008203,3
10986008204,9
10986021803,1
10986024404,3
10986028603,8
10986030305,9
10986034602,0
10986041605,9
10986051705,7
10986051706,2
10986052907,1
10473007303,6
10473008203,1
10473018503,8
10473028803,8
10473030903,6
10473034102,7
10473034103,4
10473036202,1
10473036803,3
10473041404,5
10473042403,0
10970000103,7
10970007303,5
10970008104,9
10970008205,2
10970008305,1
10970013704,8
10970026904,5
10970028102,9
10970028103,9
10970030004,8
10970030005,4
10970030504,4
11080001804,9
11080002203,6
11080005003,4
11080005105,9
11080006202,8
